text,label
"URGENT: Your account has been compromised. Click here immediately to verify your identity before your account is permanently locked.",1
"Dear Customer, we detected unusual activity on your account. Please verify your information within 24 hours or your account will be suspended.",1
"Congratulations! You've won a $1,000,000 lottery prize. Click the link below to claim your winnings now before it expires.",1
"ALERT: Your PayPal account has been limited. Please update your payment information immediately to restore full access.",1
"Dear user, your Apple ID was used to sign in from an unknown device. If this wasn't you, click here to secure your account.",1
"You have a pending refund of $500.00 from the IRS. Click here to verify your bank details and receive your tax refund.",1
"IMPORTANT: Your Netflix subscription payment failed. Update your billing information now to avoid service interruption.",1
"Dear valued customer, your Amazon order has been suspended due to a billing issue. Verify your payment method here.",1
"SECURITY ALERT: Someone tried to access your Microsoft account from Russia. Click here to change your password immediately.",1
"Your bank account has been frozen due to suspicious activity. Please call this number immediately to verify your identity.",1
"ATTENTION: Your FedEx package cannot be delivered. Pay the shipping fee of $2.99 to reschedule delivery.",1
"Dear member, your account will be permanently closed in 48 hours unless you verify your personal information by clicking this link.",1
"You have inherited $5,000,000 from a distant relative. Please provide your bank details to receive the funds transfer.",1
"WARNING: Your computer has been infected with a virus. Call our support team immediately at 1-800-FAKE to remove it.",1
"Dear Customer, we need you to confirm your identity. Please reply with your Social Security number and date of birth.",1
"ACT NOW: Limited time offer! Transfer $500 to receive $5000 in return. This investment opportunity expires today!",1
"Your DHL shipment is on hold. Click here to pay customs fees and release your package for delivery.",1
"URGENT: Your email account storage is full. Click here to upgrade your storage immediately or lose all your emails.",1
"Dear user, your account password expires today. Click the link below to update your password and avoid losing access.",1
"Congratulations! You've been selected as winner of our weekly prize draw. Claim your $10,000 gift card now!",1
"NOTICE: We detected unauthorized login attempts on your account. Verify your credentials immediately to prevent data breach.",1
"Your credit card ending in 4521 has been charged $999.99. If you did not authorize this transaction, click here immediately.",1
"Dear valued member, verify your account now to receive your cashback reward of $250. This offer expires in 2 hours.",1
"IMPORTANT SECURITY UPDATE: Your online banking session has expired. Please re-enter your login credentials by clicking below.",1
